Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
FIAT,Punto,2012 - 2018,1.3 JTD 75,185/65 R 15,088T,185/65 R 15,088T
MERCEDES,CLS 350,2004 - 2011,3.5 V6 292,245/40 R 18,093Y,245/40 R 18,093Y
MERCEDES,CLS 350,2004 - 2011,3.5 V6 292,245/40 R 18,093Y,275/35 R 18,095Y
MERCEDES,CLS 350,2004 - 2011,3.5 V6 292,245/45 R 17,095W,245/45 R 17,095W
MERCEDES,CLS 350,2004 - 2011,3.5 V6 292,255/35 R 19,096Y,285/30 R 19,098Y
HYUNDAI,i10,2008 - 2013,1.2 L 86,175/50 R 15,075H,175/50 R 15,075H
HYUNDAI,i10,2008 - 2013,1.2 L 86,165/60 R 14,075T,165/60 R 14,075T
HYUNDAI,i10,2008 - 2013,1.2 L 86,155/70 R 13,075T,155/70 R 13,075T
FIAT,Punto,2012 - 2018,1.4 T 135,205/45 R 17,088V,205/45 R 17,088V
FIAT,Punto,2012 - 2018,1.4 T 135,195/55 R 16,087H,195/55 R 16,087H
FIAT,Punto,2012 - 2018,1.4 T 135,185/65 R 15,088H,185/65 R 15,088H
MERCEDES,CLS 350,2004 - 2011,3.5 V6 272,245/40 R 18,093Y,245/40 R 18,093Y
MERCEDES,CLS 350,2004 - 2011,3.5 V6 272,255/35 R 19,096Y,285/30 R 19,098Y
MERCEDES,CLS 350,2004 - 2011,3.5 V6 272,245/45 R 17,095W,245/45 R 17,095W
MERCEDES,CLS 350,2004 - 2011,3.5 V6 272,245/40 R 18,093Y,275/35 R 18,095Y
MERCEDES,CLS 350,2004 - 2011,3.5 V6 272,245/40 R 18,097V,245/40 R 18,097V
MAYBACH,Maybach 62 Zeppelin,2005 - 2013,6.0 V12 640,275/50 R 19,112H,275/50 R 19,112H
MAYBACH,Maybach 62 Zeppelin,2005 - 2013,6.0 V12 640,275/45 R 20,110Y,275/45 R 20,110Y
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 120,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 120,215/50 R 17,091W,215/50 R 17,091W
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 120,225/45 R 17,091W,225/45 R 17,091W
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 120,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 120,195/65 R 15,091H,195/65 R 15,091H
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 120,225/45 R 18,091W,225/45 R 18,091W
ALFA ROMEO,159 Sportwagon,2006 - 2013,1.9 JTDM 150,225/50 R 17,098W,225/50 R 17,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,1.9 JTDM 150,215/55 R 16,093V,215/55 R 16,093V
ALFA ROMEO,159 Sportwagon,2006 - 2013,1.9 JTDM 150,235/40 R 19,096Y,235/40 R 19,096Y
ALFA ROMEO,159 Sportwagon,2006 - 2013,1.9 JTDM 150,235/45 R 18,098W,235/45 R 18,098W
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 140,225/45 R 17,091V,225/45 R 17,091V
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 140,225/40 R 18,092Y,225/40 R 18,092Y
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 140,205/55 R 16,091H,205/55 R 16,091H
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 140,195/65 R 15,091H,195/65 R 15,091H
OPEL,Vectra C SW,2003 - 2009,1.8 16V 122,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,1.8 16V 122,225/45 R 17,091V,225/45 R 17,091V
OPEL,Vectra C SW,2003 - 2009,1.8 16V 122,225/45 R 18,091W,225/45 R 18,091W
OPEL,Vectra C SW,2003 - 2009,1.8 16V 122,195/65 R 15,091H,195/65 R 15,091H
OPEL,Vectra C SW,2003 - 2009,1.8 16V 122,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,1.8 16V 122,215/50 R 17,091V,215/50 R 17,091V
FIAT,Punto,2012 - 2018,1.2 L 69,185/65 R 15,088T,185/65 R 15,088T
FIAT,Punto,2012 - 2018,1.2 L 69,195/55 R 16,087H,195/55 R 16,087H
FIAT,Punto,2012 - 2018,1.2 L 69,175/65 R 15,084T,175/65 R 15,084T
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.4 JTDm 200,235/45 R 18,098W,235/45 R 18,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.4 JTDm 200,225/50 R 17,098W,225/50 R 17,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.4 JTDm 200,235/40 R 19,096Y,235/40 R 19,096Y
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),225/50 R 16,092H,225/50 R 16,092H
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),225/45 R 17,091V,255/40 R 17,094V
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),205/55 R 16,091H,205/55 R 16,091H
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),225/45 R 17,094V,225/45 R 17,094V
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),225/40 R 18,088W,255/35 R 18,090W
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),225/35 R 19,088Y,255/30 R 19,091Y
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),225/45 R 17,091H,225/45 R 17,091H
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 184),225/45 R 17,091W,225/45 R 17,091W
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 110,205/55 R 16,091V,205/55 R 16,091V
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 110,225/40 R 18,092Y,225/40 R 18,092Y
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 110,205/50 R 17,093H,205/50 R 17,093H
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,2.0 TDI 110,225/45 R 17,091W,225/45 R 17,091W
OPEL,Vectra C SW,2003 - 2009,2.0 Turbo 175,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,2.0 Turbo 175,225/45 R 18,091W,225/45 R 18,091W
OPEL,Vectra C SW,2003 - 2009,2.0 Turbo 175,215/50 R 17,091W,215/50 R 17,091W
OPEL,Vectra C SW,2003 - 2009,2.0 Turbo 175,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,2.0 Turbo 175,225/45 R 17,091W,225/45 R 17,091W
FORD,Ranger (2WD),1997 - 2001,2.5 L 117,225/70 R 15,109S,225/70 R 15,109S
FORD,Ranger (2WD),1997 - 2001,2.5 L 117,195/70 R 14,090T,195/70 R 14,090T
MINI,John Cooper Work Countryman,2010 - 2017,1.6 T 218,195/60 R 16,089H,195/60 R 16,089H
MINI,John Cooper Work Countryman,2010 - 2017,1.6 T 218,225/40 R 19,089V,225/40 R 19,089V
MINI,John Cooper Work Countryman,2010 - 2017,1.6 T 218,225/45 R 18,091V,225/45 R 18,091V
MINI,John Cooper Work Countryman,2010 - 2017,1.6 T 218,205/55 R 17,091H,205/55 R 17,091H
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 136,235/40 R 19,096Y,235/40 R 19,096Y
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 136,225/50 R 17,098W,225/50 R 17,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 136,215/55 R 16,093V,215/55 R 16,093V
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 136,205/55 R 16,091V,205/55 R 16,091V
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 136,235/45 R 18,098W,235/45 R 18,098W
HYUNDAI,i10,2008 - 2013,1.1 L 66,165/60 R 14,075T,165/60 R 14,075T
HYUNDAI,i10,2008 - 2013,1.1 L 66,155/70 R 13,075T,155/70 R 13,075T
OPEL,Vectra C SW,2003 - 2009,3.0 V6 CDTI 184,215/50 R 17,095W,215/50 R 17,095W
OPEL,Vectra C SW,2003 - 2009,3.0 V6 CDTI 184,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,3.0 V6 CDTI 184,225/45 R 18,095W,225/45 R 18,095W
OPEL,Vectra C SW,2003 - 2009,3.0 V6 CDTI 184,225/45 R 17,094W,225/45 R 17,094W
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,1.4 TSI 160,205/50 R 17,093V,205/50 R 17,093V
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,1.4 TSI 160,205/55 R 16,091V,205/55 R 16,091V
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,1.4 TSI 160,225/40 R 18,092Y,225/40 R 18,092Y
VOLKSWAGEN,Golf VI Cabrio,2011 - 2016,1.4 TSI 160,225/45 R 17,091V,225/45 R 17,091V
OPEL,Vectra C SW,2003 - 2009,2.0 DTI 100,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,2.0 DTI 100,225/45 R 17,091V,225/45 R 17,091V
OPEL,Vectra C SW,2003 - 2009,2.0 DTI 100,215/50 R 17,091V,215/50 R 17,091V
OPEL,Vectra C SW,2003 - 2009,2.0 DTI 100,195/65 R 15,091H,195/65 R 15,091H
OPEL,Vectra C SW,2003 - 2009,2.0 DTI 100,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,2.0 DTI 100,225/45 R 18,091W,225/45 R 18,091W
FIAT,Punto,2012 - 2018,0.9 TwinAir Turbo 105,185/65 R 15,088T,185/65 R 15,088T
FIAT,Punto,2012 - 2018,0.9 TwinAir Turbo 105,195/55 R 16,087H,195/55 R 16,087H
FIAT,Punto,2012 - 2018,0.9 TwinAir Turbo 105,205/45 R 17,088V,205/45 R 17,088V
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 150,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 150,195/65 R 15,091V,195/65 R 15,091V
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 150,215/50 R 17,091W,215/50 R 17,091W
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 150,225/45 R 17,091W,225/45 R 17,091W
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 150,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,1.9 CDTI 150,225/45 R 18,091W,225/45 R 18,091W
MAYBACH,Maybach 57 Zeppelin,2005 - 2013,6.0 V12 640,275/50 R 19,112H,275/50 R 19,112H
MAYBACH,Maybach 57 Zeppelin,2005 - 2013,6.0 V12 640,275/45 R 20,110Y,275/45 R 20,110Y
FIAT,Punto,2012 - 2018,1.4 GNV 77,185/65 R 15,088T,185/65 R 15,088T
FIAT,Punto,2012 - 2018,1.4 GNV 77,195/55 R 16,087H,195/55 R 16,087H
VOLKSWAGEN,Tiguan II R,2021 - ,2.0 TSI 320,235/50 R 19,103H,235/50 R 19,103H
VOLKSWAGEN,Tiguan II R,2021 - ,2.0 TSI 320,255/40 R 20,101Y,255/40 R 20,101Y
VOLKSWAGEN,Tiguan II R,2021 - ,2.0 TSI 320,255/35 R 21,098Y,255/35 R 21,098Y
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 170,215/55 R 16,093V,215/55 R 16,093V
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 170,235/45 R 18,098W,235/45 R 18,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 170,225/50 R 17,098W,225/50 R 17,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.0 JTDM 170,235/40 R 19,096Y,235/40 R 19,096Y
OPEL,Vectra C SW,2003 - 2009,1.8 L 140,235/35 R 19,091W,235/35 R 19,091W
OPEL,Vectra C SW,2003 - 2009,1.8 L 140,215/50 R 17,091W,215/50 R 17,091W
OPEL,Vectra C SW,2003 - 2009,1.8 L 140,215/55 R 16,093H,215/55 R 16,093H
OPEL,Vectra C SW,2003 - 2009,1.8 L 140,195/65 R 15,091H,195/65 R 15,091H
OPEL,Vectra C SW,2003 - 2009,1.8 L 140,225/45 R 17,091W,225/45 R 17,091W
OPEL,Vectra C SW,2003 - 2009,1.8 L 140,205/55 R 16,091H,205/55 R 16,091H
OPEL,Vectra C SW,2003 - 2009,1.8 L 140,225/45 R 18,091W,225/45 R 18,091W
FORD,Ranger (2WD),2001 - 2010,2.3 L 143,235/70 R 16,106T,235/70 R 16,106T
FORD,Ranger (2WD),2001 - 2010,2.3 L 143,235/75 R 15,109S,235/75 R 15,109S
FORD,Ranger (2WD),2001 - 2010,2.3 L 143,225/70 R 15,109S,225/70 R 15,109S
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.4 JTDM 209,235/45 R 18,098W,235/45 R 18,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.4 JTDM 209,225/50 R 17,098W,225/50 R 17,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,2.4 JTDM 209,235/40 R 19,096Y,235/40 R 19,096Y
OPEL,Vectra C SW,2003 - 2009,3.2 V6 211,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,3.2 V6 211,215/50 R 17,091W,215/50 R 17,091W
OPEL,Vectra C SW,2003 - 2009,3.2 V6 211,225/45 R 17,091W,225/45 R 17,091W
OPEL,Vectra C SW,2003 - 2009,3.2 V6 211,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,3.2 V6 211,225/45 R 18,091W,225/45 R 18,091W
HYUNDAI,i10,2013 - 2019,1.2 L 87,175/65 R 14,082T,175/65 R 14,082T
HYUNDAI,i10,2013 - 2019,1.2 L 87,185/55 R 15,086H,185/55 R 15,086H
FORD,Ranger (2WD),2001 - 2010,4.0 V6 207,235/70 R 16,106T,235/70 R 16,106T
FORD,Ranger (2WD),2001 - 2010,4.0 V6 207,235/75 R 15,109S,235/75 R 15,109S
FORD,Ranger (2WD),2001 - 2010,4.0 V6 207,225/70 R 15,109S,225/70 R 15,109S
OPEL,Vectra C SW,2003 - 2009,2.2 DTI 125,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,2.2 DTI 125,225/45 R 17,091V,225/45 R 17,091V
OPEL,Vectra C SW,2003 - 2009,2.2 DTI 125,215/50 R 17,091V,215/50 R 17,091V
OPEL,Vectra C SW,2003 - 2009,2.2 DTI 125,195/65 R 15,091H,195/65 R 15,091H
OPEL,Vectra C SW,2003 - 2009,2.2 DTI 125,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,2.2 DTI 125,225/45 R 18,091W,225/45 R 18,091W
VOLKSWAGEN,Golf VII e-Golf,2014 - 2020,Electric 115,195/65 R 15,091H,195/65 R 15,091H
VOLKSWAGEN,Golf VII e-Golf,2014 - 2020,Electric 115,205/55 R 16,091H,205/55 R 16,091H
VOLKSWAGEN,Golf VII e-Golf,2014 - 2020,Electric 115,225/45 R 17,091W,225/45 R 17,091W
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),225/50 R 16,092H,225/50 R 16,092H
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),225/45 R 17,091V,255/40 R 17,094V
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),205/55 R 16,091H,205/55 R 16,091H
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),225/45 R 17,094V,225/45 R 17,094V
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),225/40 R 18,088W,255/35 R 18,090W
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),225/35 R 19,088Y,255/30 R 19,091Y
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),225/45 R 17,091H,225/45 R 17,091H
BMW,serie 3 Cabrio,2006 - 2013,320i (2.0 L 170),225/45 R 17,091W,225/45 R 17,091W
FIAT,Punto,2012 - 2018,0.9 TwinAir Turbo 85,185/65 R 15,088T,185/65 R 15,088T
FIAT,Punto,2012 - 2018,0.9 TwinAir Turbo 85,195/55 R 16,087H,195/55 R 16,087H
FIAT,Punto,2012 - 2018,0.9 TwinAir Turbo 85,205/45 R 17,088V,205/45 R 17,088V
VOLKSWAGEN,Golf VII e-Golf,2014 - 2020,Electric 136,195/65 R 15,091H,195/65 R 15,091H
VOLKSWAGEN,Golf VII e-Golf,2014 - 2020,Electric 136,205/55 R 16,091H,205/55 R 16,091H
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),225/35 R 19,088Y,255/30 R 19,091Y
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),225/40 R 18,088W,255/35 R 18,090W
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),225/45 R 17,091V,255/40 R 17,094V
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),225/50 R 16,092V,225/50 R 16,092V
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),225/50 R 16,092H,225/50 R 16,092H
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),205/55 R 16,091H,205/55 R 16,091H
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),225/45 R 17,091V,225/45 R 17,091V
BMW,serie 3 Cabrio,2006 - 2013,318i (2.0 L 143),225/45 R 17,091H,225/45 R 17,091H
FIAT,Punto,2012 - 2018,1.4 L 77,185/65 R 15,088T,185/65 R 15,088T
FIAT,Punto,2012 - 2018,1.4 L 77,195/55 R 16,087H,195/55 R 16,087H
FIAT,Punto,2012 - 2018,1.4 L 77,205/45 R 17,088V,205/45 R 17,088V
FIAT,Punto,2012 - 2018,1.4 L 77,175/65 R 15,084T,175/65 R 15,084T
FORD,Puma,2019 - ,1.0 EcoBoost 125 MHEV,215/50 R 18,096V,215/50 R 18,096V
FORD,Puma,2019 - ,1.0 EcoBoost 125 MHEV,205/65 R 16,095V,205/65 R 16,095V
FORD,Puma,2019 - ,1.0 EcoBoost 125 MHEV,225/40 R 19,093V,225/40 R 19,093V
FORD,Puma,2019 - ,1.0 EcoBoost 125 MHEV,215/55 R 17,094V,215/55 R 17,094V
MINI,Mini Cooper SD Coupé,2011 - 2015,2.0 D 143,195/55 R 16,087V,195/55 R 16,087V
MINI,Mini Cooper SD Coupé,2011 - 2015,2.0 D 143,205/45 R 17,084V,205/45 R 17,084V
MINI,Mini Cooper SD Coupé,2011 - 2015,2.0 D 143,175/60 R 16,082H,175/60 R 16,082H
ALFA ROMEO,159 Sportwagon,2006 - 2013,1750 T 200,235/45 R 18,098W,235/45 R 18,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,1750 T 200,225/50 R 17,098W,225/50 R 17,098W
ALFA ROMEO,159 Sportwagon,2006 - 2013,1750 T 200,235/40 R 19,096Y,235/40 R 19,096Y
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),225/50 R 16,092H,225/50 R 16,092H
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),225/45 R 17,091V,255/40 R 17,094V
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),205/55 R 16,091H,205/55 R 16,091H
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),225/45 R 17,094V,225/45 R 17,094V
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),225/40 R 18,088W,255/35 R 18,090W
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),225/35 R 19,088Y,255/30 R 19,091Y
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),225/45 R 17,091H,225/45 R 17,091H
BMW,serie 3 Cabrio,2006 - 2013,320d (2.0 D 177),225/45 R 17,091W,225/45 R 17,091W
MERCEDES,E 420,1993 - 1995,4.2 V8 279,215/55 R 16,000ZR,215/55 R 16,000ZR
FORD,Puma,2019 - ,1.0 EcoBoost 125,215/50 R 18,096V,215/50 R 18,096V
FORD,Puma,2019 - ,1.0 EcoBoost 125,205/65 R 16,095V,205/65 R 16,095V
FORD,Puma,2019 - ,1.0 EcoBoost 125,225/40 R 19,093V,225/40 R 19,093V
FORD,Puma,2019 - ,1.0 EcoBoost 125,215/55 R 17,094V,215/55 R 17,094V
VOLKSWAGEN,ID.4 Pure Performance,2020 - ,Electric 170,235/50 R 20,100T,255/45 R 20,103T
VOLKSWAGEN,ID.4 Pure Performance,2020 - ,Electric 170,255/50 R 19,103T,235/50 R 19,103T
VOLKSWAGEN,ID.4 Pure Performance,2020 - ,Electric 170,235/45 R 21,101T,255/40 R 21,102T
VOLKSWAGEN,ID.4 Pure Performance,2020 - ,Electric 170,235/60 R 18,103T,235/60 R 18,103T
FORD,Puma,2019 - ,1.0 EcoBoost 95,215/50 R 18,096V,215/50 R 18,096V
FORD,Puma,2019 - ,1.0 EcoBoost 95,205/65 R 16,095V,205/65 R 16,095V
FORD,Puma,2019 - ,1.0 EcoBoost 95,225/40 R 19,093V,225/40 R 19,093V
FORD,Puma,2019 - ,1.0 EcoBoost 95,215/55 R 17,094V,215/55 R 17,094V
MINI,Cooper Countryman SE,2016 - ,1.5 Hybrid 224,225/55 R 17,097W,225/55 R 17,097W
MINI,Cooper Countryman SE,2016 - ,1.5 Hybrid 224,225/45 R 19,092W,225/45 R 19,092W
MINI,Cooper Countryman SE,2016 - ,1.5 Hybrid 224,225/50 R 18,095V,225/50 R 18,095V
MINI,Cooper Countryman SE,2016 - ,1.5 Hybrid 224,205/60 R 17,093H,205/60 R 17,093H
MINI,Cooper Countryman SE,2016 - ,1.5 Hybrid 224,225/50 R 18,095W,225/50 R 18,095W
ALFA ROMEO,145,1994 - 2001,2.0 L 150,195/55 R 15,084V,195/55 R 15,084V
FORD,Puma,2019 - ,1.0 EcoBoost 155 MHEV,215/50 R 18,096V,215/50 R 18,096V
FORD,Puma,2019 - ,1.0 EcoBoost 155 MHEV,205/65 R 16,095V,205/65 R 16,095V
FORD,Puma,2019 - ,1.0 EcoBoost 155 MHEV,225/40 R 19,093V,225/40 R 19,093V
FORD,Puma,2019 - ,1.0 EcoBoost 155 MHEV,215/55 R 17,094V,215/55 R 17,094V
HYUNDAI,i10,2013 - 2019,1.0 L 66,155/70 R 13,075T,155/70 R 13,075T
HYUNDAI,i10,2013 - 2019,1.0 L 66,185/55 R 15,086H,185/55 R 15,086H
HYUNDAI,i10,2013 - 2019,1.0 L 66,175/65 R 14,082T,175/65 R 14,082T
ALFA ROMEO,145,1994 - 2001,2.0 L 155,195/55 R 15,084V,195/55 R 15,084V
VOLKSWAGEN,Golf III Variant VR6 Syncro,1993 - 1999,2.9 V6 190,205/50 R 15,086W,205/50 R 15,086W
VOLKSWAGEN,Golf III Variant VR6 Syncro,1993 - 1999,2.9 V6 190,185/55 R 15,085T,185/55 R 15,085T
ALFA ROMEO,145,1994 - 2001,1.9 JTD 105,185/60 R 14,082H,185/60 R 14,082H
ALFA ROMEO,145,1994 - 2001,1.9 JTD 105,195/55 R 14,084V,195/55 R 14,084V
BMW,serie 3 Cabrio,2006 - 2013,325i (2.5 L 218),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2006 - 2013,325i (2.5 L 218),225/45 R 17,091Y,225/45 R 17,091Y
BMW,serie 3 Cabrio,2006 - 2013,325i (2.5 L 218),225/35 R 19,088Y,255/30 R 19,091Y
BMW,serie 3 Cabrio,2006 - 2013,325i (2.5 L 218),225/45 R 17,091H,225/45 R 17,091H
BMW,serie 3 Cabrio,2006 - 2013,325i (2.5 L 218),225/45 R 17,091W,255/40 R 17,094W
BMW,serie 3 Cabrio,2006 - 2013,325i (2.5 L 218),205/55 R 16,091H,205/55 R 16,091H
ALFA ROMEO,145,1994 - 2001,1.6 L 104,185/60 R 14,082H,185/60 R 14,082H
ALFA ROMEO,145,1994 - 2001,1.6 L 104,175/65 R 14,082T,175/65 R 14,082T
MINI,Cooper Paceman,2013 - 2016,1.6 L 122,205/55 R 17,091V,205/55 R 17,091V
MINI,Cooper Paceman,2013 - 2016,1.6 L 122,205/60 R 16,092H,205/60 R 16,092H
MINI,Cooper Paceman,2013 - 2016,1.6 L 122,195/60 R 16,089H,195/60 R 16,089H
MINI,Cooper Paceman,2013 - 2016,1.6 L 122,205/55 R 17,091H,205/55 R 17,091H
MINI,Cooper Paceman,2013 - 2016,1.6 L 122,225/40 R 19,089V,225/40 R 19,089V
MINI,Cooper Paceman,2013 - 2016,1.6 L 122,225/45 R 18,091V,225/45 R 18,091V
BMW,serie 3 Cabrio,2006 - 2013,330i (3.0 L 258),225/35 R 19,088Y,255/30 R 19,091Y
BMW,serie 3 Cabrio,2006 - 2013,330i (3.0 L 258),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2006 - 2013,330i (3.0 L 258),225/45 R 17,091W,255/40 R 17,094W
BMW,serie 3 Cabrio,2006 - 2013,330i (3.0 L 258),225/45 R 17,091H,225/45 R 17,091H
BMW,serie 3 Cabrio,2006 - 2013,330i (3.0 L 258),225/45 R 17,091Y,225/45 R 17,091Y
MAYBACH,Maybach 62,2005 - 2013,6.0 V12 630,275/50 R 19,112H,275/50 R 19,112H
MAYBACH,Maybach 62,2005 - 2013,6.0 V12 630,275/45 R 20,110Y,275/45 R 20,110Y
FIAT,Punto,2012 - 2018,1.3 JTD 85,185/65 R 15,088T,185/65 R 15,088T
FIAT,Punto,2012 - 2018,1.3 JTD 85,195/55 R 16,087H,195/55 R 16,087H
FIAT,Punto,2012 - 2018,1.3 JTD 85,205/45 R 17,088V,205/45 R 17,088V
ALFA ROMEO,145,1994 - 2001,1.7 L 129,185/60 R 14,082H,185/60 R 14,082H
MAYBACH,Maybach 62,2005 - 2013,5.5 V12 550,275/50 R 19,112W,275/50 R 19,112W
ALFA ROMEO,145,1994 - 2001,1.6 L 120,185/60 R 14,082H,185/60 R 14,082H
ALFA ROMEO,145,1994 - 2001,1.6 L 120,195/50 R 15,082V,195/50 R 15,082V
FIAT,Punto,2012 - 2018,1.4 L 105,195/55 R 16,087H,195/55 R 16,087H
FIAT,Punto,2012 - 2018,1.4 L 105,185/65 R 15,088H,185/65 R 15,088H
FIAT,Punto,2012 - 2018,1.4 L 105,205/45 R 17,088V,205/45 R 17,088V
MAYBACH,Maybach 62,2005 - 2013,6.0 V12 612,275/50 R 19,112W,275/50 R 19,112W
MAYBACH,Maybach 62,2005 - 2013,6.0 V12 612,275/45 R 20,110Y,275/45 R 20,110Y
MINI,Mini John Cooper Works Cabrio,2007 - 2014,1.6 T 211,205/40 R 18,082W,205/40 R 18,082W
MINI,Mini John Cooper Works Cabrio,2007 - 2014,1.6 T 211,205/45 R 17,084W,205/45 R 17,084W
MINI,Mini John Cooper Works Cabrio,2007 - 2014,1.6 T 211,185/50 R 17,086H,185/50 R 17,086H
HYUNDAI,XG 25,1998 - 2006,2.5 V6 163,205/65 R 15,094V,205/65 R 15,094V
HYUNDAI,XG 25,1998 - 2006,2.5 V6 163,195/65 R 15,091Q,195/65 R 15,091Q
HYUNDAI,XG 25,1998 - 2006,2.5 V6 163,205/60 R 16,092V,205/60 R 16,092V
VOLKSWAGEN,Golf V GTi,2003 - 2008,2.0 TFSI 200,225/40 R 18,092Y,225/40 R 18,092Y
VOLKSWAGEN,Golf V GTi,2003 - 2008,2.0 TFSI 200,205/55 R 16,091W,205/55 R 16,091W
